ntb_id_bdcontrast
pk_obj,att_fld_desc,busisys_name
1001Z6IFMBuget000001,财务组织,投资理财
1001Z6IFMBuget000002,币种,投资理财
1001Z6IFMBuget000003,资金计划项目,投资理财
1001Z6IFMBuget000004,发行银行,投资理财
1001Z6IFMBuget000005,投资品种,投资理财
1001Z6IFMBuget000006,银行账户,投资理财
1001Z6IFMBuget000007,财务组织,投资理财
1001Z6IFMBuget000008,币种,投资理财
1001Z6IFMBuget000009,资金计划项目,投资理财
1001Z6IFMBuget000010,发行银行,投资理财
1001Z6IFMBuget000011,投资品种,投资理财
1001Z6IFMBuget000012,银行账户,投资理财
1001Z6IFMBuget000013,财务组织,投资理财
1001Z6IFMBuget000014,币种,投资理财
1001Z6IFMBuget000015,资金计划项目,投资理财
1001Z6IFMBuget000016,发行银行,投资理财
1001Z6IFMBuget000017,投资品种,投资理财
1001Z6IFMBuget000018,银行账户,投资理财
