pub_billaction
pk_billaction,actionnote,showhint
0001Z61000000002M569,送审,
0001Z61000000002M56A,审核,
0001Z61000000002M56B,收回,
0001Z61000000002M56C,弃审,
0001Z61000000002M56D,删除,
0001Z61000000002M56E,保存,
0001Z61000000002M5G0,送审,
0001Z61000000002M5G1,审核,
0001Z61000000002M5G2,收回,
0001Z61000000002M5G3,弃审,
0001Z61000000002M5G4,删除,
0001Z61000000002M5G5,保存,
0001Z61000000002M5PN,送审,
0001Z61000000002M5PO,审核,
0001Z61000000002M5PP,收回,
0001Z61000000002M5PQ,弃审,
0001Z61000000002M5PR,删除,
0001Z61000000002M5PS,保存,
